SYSTEM Asteroid Field	;{0} Asteroid Field
IncomeType TradeBonuses		;Trade Bonuses
IncomeType PrivateColonyRevenue		;Private Colony Revenue

IncomeType ColonyTax Explanation		;Tax rates are set for individual colonies. Tax income is collected from the private income of the colony at the set rate. High tax rates reduce happiness and slow growth of the colony. Low tax rates increase happiness and encourage growth
IncomeType ResourceTrading Explanation		;Your empire will automatically sell excess resources to other empires when you have a Restricted, Limited or Free Trade Agreement with them. Independent colonies and traders will also buy excess resources from you
IncomeType Fuel Explanation		;Your empire will sell fuel to other empires when their ships dock at your bases or colonies
IncomeType Information Explanation		;Information can be sold to other empires from the Diplomacy screen. This includes maps, tech, secret locations and other information
IncomeType Tribute Explanation		;Tribute that other empires pay to you as part of a diplomatic agreement. Tribute is usually imposed by the victor of a war on a defeated enemy
IncomeType Raiding Explanation		;Money obtained by raiding the colonies or bases of other empires
IncomeType Missions Explanation		;Money earned from successful covert missions
IncomeType ColonyCrime Explanation		;Wealth siphoned from colonies via criminal activities. The higher the control level of a colony, the more money is stolen
IncomeType Tourism Explanation		;Money earned from tourists staying at your Resort Bases
IncomeType ShipBuilding Explanation		;Building ships for other empires, including independent colonies
IncomeType Discoveries Explanation		;Money discovered in ancient ruins and abandoned ships and bases
IncomeType TradeBonuses Explanation		;Bonus income from the total volume of trade with other empires
IncomeType PrivateColonyRevenue Explanation		;Private income of your colonies. This private colony income is taxed to give Colony Tax income to your empire

ExpenseType ColonyGrowthFunding		;Colony Growth
ExpenseType Research		;Research
ExpenseType ShipMaintenance		;Ship & Base Maintenance
ExpenseType ShipMaintenance Short		;Ship Maintenance
ExpenseType TroopMaintenance		;Troop Maintenance
ExpenseType FacilityMaintenance		;Facility Maintenance
ExpenseType ShipBuilding		;Ship Building
ExpenseType TroopRecruitment		;Troop Recruitment
ExpenseType FacilityBuilding		;Facility Building
ExpenseType ResourceTrading		;Resource Trading
ExpenseType Fuel		;Fuel Costs
ExpenseType Information		;Information
ExpenseType Tribute		;Tribute Paid
ExpenseType Missions		;Missions
ExpenseType EnemyRaids		;Enemy Raids
ExpenseType PrivateGeneralExpenditure		;General Expenditure
ExpenseType PrivateColonyTax		;Colony Taxes
ExpenseType PrivateShipMaintenance		;Private Ship Maintenance
ExpenseType PrivateTourism		;Private Tourism
ExpenseType PrivateShipBuilding		;Private Ship Building
ExpenseType PrivateFuel		;Private Fuel

ExpenseType ColonyGrowthFunding Explanation		;Colonies normally grow slowly, but you can accelerate their growth by allocating funding.
ExpenseType Research Explanation		;Research speed is greatly increased by allocating research funding
ExpenseType ShipMaintenance Explanation		;Maintenance costs for state-owned ships and bases
ExpenseType TroopMaintenance Explanation		;Maintenance costs for troop units
ExpenseType FacilityMaintenance Explanation		;Maintenance costs for planetary facilities
ExpenseType ShipBuilding Explanation		;Purchase costs for building new state-owned ships and bases
ExpenseType TroopRecruitment Explanation		;Recruitment costs for new troop units
ExpenseType FacilityBuilding Explanation		;Building costs for new planetary facilities
ExpenseType ResourceTrading Explanation		;Costs for buying resources from other empires. Other empires will sell their excess resources to you when you have a Free Trade Agreement or Resource Supply deal with them. Independent colonies also sell their excess resources to any empire
ExpenseType Fuel Explanation		;Your empire will buy fuel from other empires when your ships dock at their bases or colonies
ExpenseType Information Explanation		;Information can be bought from other empires in the Diplomacy screen. This includes maps, tech, secret locations and other information
ExpenseType Tribute Explanation		;Tribute that you pay to other empires. This is typically from protection agreements with pirate factions or monetary gifts to other empires.
ExpenseType Missions Explanation		;Money spent on covert missions
ExpenseType EnemyRaids Explanation		;Money lost when pirates or other empires raid the colonies or bases of your empire
ExpenseType PrivateGeneralExpenditure Explanation		;General expenses in the private sector of your empire
ExpenseType PrivateColonyTax Explanation		;Colony taxes paid by the private sector of your empire
ExpenseType PrivateShipMaintenance Explanation		;Maintenance costs for privately-owned ships and bases
ExpenseType PrivateTourism Explanation		;Money spent on tourism by the private citizens in your empire
ExpenseType PrivateShipBuilding Explanation		;Purchase costs for building new privately-owned ships and bases
ExpenseType PrivateFuel Explanation		;Fuel costs for privately-owned ships in your empire

Previous		;Previous
Projected		;Projected
Projected For Current Year		;Projected For Current Year
Projected Explanation		;Projected annual income and expenses based on your empire's current situation
Current Year		;Current Year
Current Year Explanation		;Actual income and expenses for current year
Previous Year		;Previous Year
Previous Year Explanation		;Actual income and expenses for previous year
Income		;Income
Expenses		;Expenses
Private Economy		;Private Economy
State Economy		;State Economy
Military		;Military
Other State		;Other State
Private		;Private
Excess		;Excess
Unused Excess		;Unused Excess

Select Government to compare		;Select Government to compare
Government		;Government
Comparing with X		;Comparing with {0}
Have Revolution and switch government		;Have Revolution and switch government
Have Revolution and switch government to X		;Have Revolution and switch government to {0}
Total population at all of your colonies X		;Total population at all of your colonies: {0}
billion		;billion

from		;from
Bonus Source Description		;{0} from {1}
X race		;{0} race
X government		;{0} government
Leader		;Leader
Cabinet		;Cabinet
FACILITY at PLANET		;{0} at {1}

Policy Settings		;Policy Settings
Colonies		;Colonies
New Colonies		;New Colonies
Colony Ships		;Colony Ships
Planetary Facilities		;Planetary Facilities
Artifacts		;Artifacts
All		;All

Approval Description Happy		;Happy
Approval Description Neutral		;Satisfied
Approval Description Unhappy		;Unhappy
Approval Description Angry		;Angry
Approval Description Rebelling		;Rebelling

Angry Colonies		;Angry Colonies
Rebelling Colonies		;Rebelling Colonies
War progress with EMPIRE		;War progress with {0}

Annual Revenue		;Annual Revenue
Importance		;Importance
Colonies Summary		;{0} colonies in {1} systems, {2} total population
Research Stations		;Research Stations
New Research Locations		;New Research Locations
Research Screen		;Research Screen
All Research Bonuses		;All Research Bonuses
Research		;Research
Maximum Potential Research		;Maximum Potential Research
Actual Research Output		;Actual Research Output
Maximum Potential Research Explanation		;Your empire's maximum potential research points from the population at your colonies and the labs at your Research Stations. This includes all research bonuses from research locations.\n\nNote that this value may be higher for some research projects where more specific research bonuses apply.
Actual Research Output Explanation		;Your empire's actual research points available to research projects. This is the maximum potential research modified by your empire's research funding level. Increasing your research funding will utilize more of your maximum potential research.\n\nNote that only research stations require funding. Research output from your colonies is free.\n\nIf you have any Research treaties with other factions then the shared output from them will also be shown here.
Potential Research Sources		;{0} from Colony Population\n{1} from Research Stations
Actual Research Sources		;{0} from Colony Population\n{1} from Research Stations ({2} funding level = {3} credits available, maximum funding can use = {4} credits)
Research Treaty Bonus		;{0} from Research Treaty partners
Research Bonuses		;Research Bonuses
Research Thresholds		;Research Thresholds
Research Threshold		;Research Threshold

No Research Projects		;No Research Projects
Click to add		;Click to add
X colonies		;{0} colonies
X systems		;{0} systems
X population		;{0} population
PLUS others		;+ others
Tax Rate		;Tax Rate
Tax Revenue		;Tax Revenue
Research Output		;Research Output
Research Bonus Amounts		;Research Bonus Amounts

Civilian		;Civilian
All Civilian Ships		;All Civilian Ships
Freighters		;Freighters
Resort Bases		;Resort Bases
New Resort Locations		;New Resort Locations
Passenger Ships		;Passenger Ships

Fleets		;Fleets
Defensive Bases		;Defensive Bases
Monitoring Stations		;Monitoring Stations
New Monitoring Locations		;New Monitoring Locations
Enemy Targets		;Enemy Targets
Dangerous Locations		;Dangerous Locations
X Ships		;{0} Ships
X Troops		;{0} Troops
X Attack Strength		;{0} Attack Strength
Troop Location Description Ship		;Onboard {0}
Troop Location Description Planet		;At {0}
Attack Strength		;Attack Strength
Attack Strength with Readiness		;Attack Strength with Readiness
Defend Strength		;Defend Strength
Defend Strength with Readiness		;Defend Strength with Readiness
Intercept Strength		;Intercept Strength
Sabotage Strength		;Sabotage Strength
Readiness		;Readiness
Recruiting		;Recruiting
Available		;Available
Ships		;Ships
Troop Attack Strength		;Troop Attack Strength
Military Ships		;Military Ships
Ships not in a Fleet		;Ships not in a Fleet
Ships in a Fleet		;Ships in a Fleet
Damaged Ships		;Damaged Ships
All Fleets		;All Fleets
Fleets without a Mission		;Fleets without a Mission
Damaged		;Damaged
Ungarrisoned		;Ungarrisoned
Scan Range		;Scan Range
Maintenance Cost		;Maintenance Cost
Military Ship Strength		;Military Ship Strength
Military Ship Strength Explanation		;Total military ship strength, including all fighters. Note that this does not include bases.
Fleets Explanation		;Number of fleets in your empire
Troop Attack Strength Explanation		;Total troop attack strength in your empire. Note that this does not include troops still being recruited.
Cargo In Transit		;Cargo in Transit
Cargo In Transit Explanation		;Total units of cargo currently in transit onboard all of the freighters in your empire
Tourists in Transit		;Tourists in Transit
Tourists in Transit Explanation		;Total number of tourists currently in transit onboard all of the passenger ships in your empire
Migrants in Transit		;Migrants in Transit
Migrants in Transit Explanation		;Total number of migrants currently in transit onboard all of the passenger ships in your empire
Passengers		;Passengers
Sort X		;Sort: {0}
Filter X		;Filter: {0}

Ship Construction		;Ship Construction
Construction Yards		;Construction Yards
New Construction Yard Locations		;New Construction Yard Locations
Construction Ships		;Construction Ships
Build Order		;Build Order
Construction Wait Time		;Construction Wait Time
BASENAME already built here		;{0} already built here
SHIPROLE already under construction here		;{0} already under construction here
Ship Designs		;Ship Designs
Unbuilt		;Unbuilt
Normal		;Normal
Destroyed		;Destroyed
Disabled		;Disabled
Enabled		;Enabled
Automated		;Automated
Manually Controlled		;Manually Controlled
Disabled at X stars		;Disabled at {0} stars

Unfriendly Territory		;Unfriendly Territory
Friendly Territory		;Friendly Territory
Total Size		;Total Size
State		;State
Ships Under Construction		;Ships Under Construction
Idle Spaceport Yards		;Idle Spaceport Yards
State Ships Under Construction		;State Ships Under Construction
Civilian Ships Under Construction		;Civilian Ships Under Construction
Spaceports		;Spaceports
Wait Time		;Wait Time
Build Speed		;Build Speed
Repair Speed		;Repair Speed
Bases		;Bases
Target already part of our empire		;Target already part of our empire
Target destroyed		;Target destroyed
Troop Defend Strength		;Troop Defend Strength
Exploration		;Exploration
Exploration Ships		;Exploration Ships
Known Ruins		;Known Ruins

Special Locations		;Special Locations
Debris Field		;Debris Field
X Debris Field		;{0} Debris Field
Secret Construction Project		;Secret Construction Project
X Construction Project		;{0} Construction Project
Special Location Discovered		;{0} Discovered
Debris Field Encounter		;We have discovered a [DISCOVERY]vast field of space debris[/DISCOVERY] in the [LOCATION]{0} system[/LOCATION]. It appears to be the remains of an epic battle.\n\nThe wreckage includes many powerful military ships that look salvageable. We should send construction ships to this location at once to repair and recover as many of these valuable ships as possible.\n\nRepairing the advanced technology in these ships would no doubt provide research bonuses to our empire.\n\nIt may also be wise to send an armed escort along - we want to dissuade anyone else from claiming these ships. Let's keep this discovery to ourselves...
Debris Field Encounter Small		;We have discovered a [DISCOVERY]field of space debris[/DISCOVERY] in the [LOCATION]{0} system[/LOCATION]. It appears to be the remains of a battle.\n\nThe wreckage includes powerful military ships that look salvageable. We should send construction ships to this location at once to repair and recover as many of these valuable ships as possible.\n\nRepairing the advanced technology in these ships would no doubt provide research bonuses to our empire.\n\nIt may also be wise to send an armed escort along - we want to dissuade anyone else from claiming these ships. Let's keep this discovery to ourselves...
Secret Construction Project Encounter		;We have discovered a [DISCOVERY]huge unfinished construction project[/DISCOVERY] in the [LOCATION]{0} system[/LOCATION]. Under construction is an enormous mobile military base that houses a superweapon designed to destroy an entire planet! The base, named the {1}, appears to have been abandoned when it was only half finished.\n\nOnce this base is completed it would allow the possessor to dominate the galaxy. In addition, examining the advanced technology in this project would no doubt provide significant research bonuses to our empire.\n\nWe should hurry to finish construction of this enormous weapon!

Fully Explored Systems		;Fully Explored Systems
Partially Explored Systems		;Partially Explored Systems
Unknown Systems		;Unknown Systems
Fully Explored Systems Explanation		;Number of star systems where all planets, moons and asteroids have been explored, at least to a basic level
Partially Explored Systems Explanation		;Number of star systems that have been visited and the composition of planets and moons is known, but not all bodies have been explored
Unknown Systems Explanation		;Number of star systems that have not been visited and are thus completely unknown

Current Amount		;Current Amount
Suggested Amount		;Suggested Amount
Build Amount		;Build Amount
Build Order Current Amount Explanation		;The amount of ships for this role currently in our empire. This includes ships currently under construction
Build Order Suggested Amount Explanation		;The suggested amount of ships for this role
Build Order Build Amount Explanation		;The amount of new ships we should build for this role
Build Order Cost Explanation		;The total purchase cost of all new ships for this role
Build Order Maintenance Explanation		;The total ongoing annual maintenance cost of all new ships for this role
TOTAL Purchase and Maintenance Costs		;TOTAL Purchase and Maintenance Costs
Available Money and Cashflow		;Available Money and Cashflow
Purchase		;Purchase
Clear		;Clear
Suggest		;Suggest
Build	;Build
Total Purchase Costs		;Total Purchase Costs
Total Maintenance Costs		;Total Maintenance Costs
Available Money		;Available Money
Available Cashflow		;Available Cashflow
No construction yards can currently build this design		;No construction yards can currently build this design
Purchase Cost		;Purchase Cost
Suggested Build Amount		;Suggested Build Amount
X ROLES Queued		;{0} {1}s Queued
Left-click to queue new ROLE		;Left-click to queue new {0}
Right-click to remove ROLE		;Right-click to remove {0}
Cannot Build DESIGN here		;Cannot Build {0} here
Cannot afford Purchase Cost		;Cannot afford Purchase Cost
Build Order Design Button Explanation		;Click to select a design for this role
Build Order Role Explanation		;Click to select this role. You can then click systems in the galaxy view to queue ships for construction
Off		;Off
On		;On
Overlay Off		;Overlay Off
All Races		;All Races
Selected Ship Only		;Selected Ship Only
Ship Travel Vectors		;Ship Travel Vectors
Long Range Scanners		;Long Range Scanners
Location Badges		;Location Badges
Tourism Flow		;Tourism Flow
Migration Flow		;Migration Flow
Resource Flow		;Resource Flow
Resources Required to Build		;Resources Required to Build
Funding Levels		;Funding Levels
Amount for FUNDING based on current cashflow		;Amount for {0} based on current cashflow
Amount for FUNDING based on current income		;Amount for {0} based on current income
Amount currently used for FUNDING		;Amount currently used for {0}
Amount Used is more than Available		;Amount Used is more than Available
Potential maximum is more than Available		;Potential maximum is more than Available
Maximum for FUNDING vs AVAILABLE		;Maximum {0} Usable Amount = {1} vs Available Amount = {2}
Empire Funding Reserved		;Reserved
Empire Funding Reserved Explanation		;Percentage of your income that is left unspent, thus building up a cash stockpile for purchases and other expenses.
Funding Area		;Funding Area
% of Cashflow		;% of Cashflow
Available from Cashflow		;Available from Cashflow
% of Income		;% of Income
Available from Income		;Available from Income
Amount Used		;Amount Used
Unallocated Income		;Unallocated Income
Unallocated Income Explanation		;Some of your empire's income is unallocated. You should increase funding levels in your preferred areas until income allocation reaches 100%. Unallocated income will remain unspent
Empire Funding Levels		;Empire Funding Levels
Amount Available		;Amount Available
Total regular state income from all sources		;Total regular state income from all sources
Income Available for Maintenance Expenses		;Income Available for Maintenance Expenses
Total income available for maintenance expenses		;Total income available for maintenance expenses. This equals your income less the reserved amount. You should attempt to keep actual maintenance expenses below this allocated amount.
Income Used for Maintenance Expenses		;Income Used for Maintenance + Other Expenses
Total amount actually used for maintenance in all areas		;Total amount actually used for maintenance in all areas, plus any other refular state expenses (e.g. pirate protection). The difference between used and available is your Excess amount, which is then used to fund Colony Growth and Research.
Excess Income		;Excess Income
This amount is the remainder of income less actual maintenance expenses		;This amount is the remainder of income less actual maintenance expenses from above. Excess income is used to fund Colony Growth and Research, as apportioned here below.
Unused Excess Income		;Unused Excess Income
Unused excess income is what remains after paying for maintenance expenses		;Unused excess income is what remains after paying for maintenance expenses and funding Colony Growth and Research. When Colony Growth and Research funding does not consume all of your excess income then the remainder combines with the Reserved income to comprise your Cashflow.
Colony Growth is funded from your excess income after paying maintenance expenses		;Colony Growth is funded from your excess income after paying maintenance expenses. If there is no excess income (i.e. maintenance expenses + Reserved amount consumes all of your income) then Colony Growth is not funded.
Research is funded from your excess income after paying maintenance expenses		;Research is funded from your excess income after paying maintenance expenses. If there is no excess income (i.e. maintenance expenses + Reserved amount consumes all of your income) then Research is not funded. In this case only research output from your population is used - research output from your labs is suspended until funded.
State Income		;State Income
State Expenses		;State Expenses
Total regular state maintenance expenses		;Total regular state maintenance expenses
This value is your cashflow - comprised of		;This value is your cashflow. It is comprised of the Reserved portion of your income ({0} = {1}) plus whatever remains of the rest of your income (Unused Excess = {2}) after paying all regular expenses (all state maintenance plus Colony Growth and Research funding).
Total Expenses		;Total Expenses
Other Expenses		;Other Expenses
Other Expenses Explanation		;All other regular state expenses, e.g. pirate protection

Must have Reactors		;Must have Reactors
Must have Fuel Storage		;Must have Fuel Storage
Should have Energy Collectors		;Consider adding Energy Collectors
Must have Docking Bays		;Must have Docking Bays
Must NOT have Engines		;Must NOT have Engines
Must NOT have Hyperdrives		;Must NOT have Hyperdrives
Must have Cargo Storage		;Must have Cargo Storage
Must have Mining capability		;Must have Mining capability
Must have Remote Fuel Transfer capability		;Must have Remote Fuel Transfer capability
Must have Long Range Scanners		;Must have Long Range Scanners
Should have Long Range Scanners		;Consider adding Long Range Scanners
Must have Research Labs		;Must have Research Labs
Should have Research Labs		;Consider adding Research Labs
Must have Recreation capability		;Must have Recreation capability
Should have Recreation capability		;Should have Recreation capability
Should have Medical capability		;Should have Medical capability
Must have Passenger capacity		;Must have Passenger capacity
Should have Commerce Center		;Consider adding Commerce Center
Must have Engines		;Must have Engines
Must have a Hyperdrive		;Must have a Hyperdrive
Must have Fighter Bays with build and repair capability		;Must have Fighter Bays with build and repair capability
Must have Construction Yards with build and repair capability		;Must have Construction Yards with build and repair capability
Must have Colonization Module		;Must have Colonization Module
Must have Exploration scanning or survey capability		;Must have Exploration scanning or survey capability
Must have Troop capacity		;Must have Troop capacity
Must have Assault Pods to launch invasion troops		;Must have Assault Pods to launch invasion troops
Should have adequate number of Assault Pods to launch invasion troops. At a minimum, should have as many Assault Pods as Troop Compartments		;Should have adequate number of Assault Pods to launch invasion troops. At a minimum, should have as many Assault Pods as Troop Compartments
Reactor energy output is too low		;Reactor energy output is too low
Hyperdrive energy requirements combined with static energy requirements are higher than Reactor energy output		;Hyperdrive energy requirements combined with static energy requirements are higher than Reactor energy output. Hyperdrive speed will be scaled down
Energy collection rate is lower than static energy requirements		;Energy collection rate is lower than static energy requirements
Total size is greater than hull allows		;Total size is greater than hull allows
Empire has no supply of resources X		;Our empire has no supply of resources: {0}
Maneuvering turn rate is lower than average for non-military ships X		;Maneuvering turn rate is lower than average for non-military ships (empire-wide average is {0} deg/sec)
Maneuvering turn rate is lower than average for military ships X		;Maneuvering turn rate is lower than average for military ships (empire-wide average is {0} deg/sec)
Maneuvering turn rate is lower than average for fighters X		;Maneuvering turn rate is lower than average for fighters (empire-wide average is {0} deg/sec)
Top Speed is lower than average for non-military ships X		;Top Speed is lower than average for non-military ships (empire-wide average is {0})
Top Speed is lower than average for military ships X		;Top Speed is lower than average for military ships (empire-wide average is {0})
Top Speed is lower than average for fighters X		;Top Speed is lower than average for fighters (empire-wide average is {0})
This design has no problems		;This design has no problems
X Recommendations		;{0} Recommendations
X Defects		;{0} Defects
Defensive bases must have weapons or fighters		;Defensive bases must have weapons or fighters
Military ships must have weapons or fighters		;Military ships must have weapons or fighters
Need more crew		;Need more crew
Reactor power output inadequate to supply static energy requirements		;Reactor power output inadequate to supply static energy requirements
Design must have a name		;Design must have a name
Your empire already has a design with this name		;Your empire already has a design with this name
External component bays should be completely filled before using internal component bays		;External component bays should be completely filled before using internal component bays
Consider moving components from internal to external bays		;Consider moving components from internal to external bays
External Bay		;External Bay
Only one Hyperdrive component is required		;Only one Hyperdrive component is required

Tactical Settings: ROLE should have retreat set to 'Never'		;Tactical Settings: {0} should have Retreat set to 'Never'
Tactical Settings: ROLE should not have engagement set to 'Do Not Engage'		;Tactical Settings: {0} should not have engagement set to 'Do Not Engage'
Tactical Settings: ROLE with troop capacity should not have invasion set to 'Never Invade'		;Tactical Settings: {0} with troop capacity should not have invasion set to 'Never Invade'
Tactical Settings: ROLE should have engagement set to 'Do Not Engage'		;Tactical Settings: {0} should have engagement set to 'Do Not Engage'
Fighters must have weapons		;Fighters must have weapons

Engine Limit		;Engine Limit
You have reached the maximum limit of X engines for this Ship Hull		;You have reached the maximum limit of {0} engines for this Ship Hull

Light Transport		;Light Transport
Light Trader		;Light Trader
Light Hauler		;Light Hauler
Light Freighter		;Light Freighter
Cargo Shuttle		;Cargo Shuttle
Merchant Freighter		;Merchant Freighter
Medium Transport		;Medium Transport
Cargo Freighter		;Cargo Freighter
Cargo Hauler		;Cargo Hauler
Cargo Ferry		;Cargo Ferry
Freight Hauler		;Freight Hauler
Super Hauler		;Super Hauler
Cargo Carrier		;Cargo Carrier
Heavy Freighter		;Heavy Freighter
Cargo Barge		;Cargo Barge
Bulk Freighter		;Bulk Freighter
Heavy Lifter		;Heavy Lifter
Bulk Transport		;Bulk Transport
Ore Prospector		;Ore Prospector
Ore Hauler		;Ore Hauler
Miner		;Miner
Mineral Miner		;Mineral Miner
Supply Tanker		;Supply Tanker
Fuel Transport		;Fuel Transport
Fuel Barge		;Fuel Barge
Constructor		;Constructor
Ship Yard		;Ship Yard
Space Dock		;Space Dock
Space Liner		;Space Liner
Commuter		;Commuter
Tourist		;Tourist
Migrant		;Migrant
Scout		;Scout
Surveyor		;Surveyor
Pathfinder		;Pathfinder
Explorer		;Explorer
Traveller		;Traveler
Navigator		;Navigator
Colonizer		;Colonizer
Settler		;Settler
World Founder		;World Founder

Manually create new Design using this Ship Hull		;Manually create new Design using this Ship Hull
Auto-generate new Design using this Ship Hull		;Auto-generate new Design using this Ship Hull

Unknown Ship		;Unknown Ship
Unknown Empire		;Unknown Empire
Unknown resource		;Unknown resource
Unknown Ruins		;Unknown Ruins
Unknown Bonus		;Unknown Bonus
Unknown Creature		;Unknown Creature
Unknown Ships		;Unknown Ships
Unknown Military Ships		;Unknown Military Ships

X and moons		;{0} and moons
Asteroids		;Asteroids

ASTEROIDTYPE Field		;{0} Field

Galaxy Shape		;Galaxy Shape

Galaxy Shape Classic		;Classic
Galaxy Shape Spiral		;Spiral
Galaxy Shape Elliptical		;Elliptical
Galaxy Shape Ring No Center		;Ring No Center
Galaxy Shape Ring Dense Center		;Ring Dense Center
Galaxy Shape Dual Ring No Center		;Dual Ring No Center
Galaxy Shape Dual Ring Dense Center		;Dual Ring Dense Center
Galaxy Shape Irregular		;Irregular
Galaxy Shape Even Clusters		;Even Clusters
Galaxy Shape Varied Clusters		;Varied Clusters

Galaxy Shape Explanation Classic		;Classic galaxies have a spiral shape, with two large nebula cloud arms winding out from the center of the galaxy.\n\nThe galactic core is densely packed with stars. Moving towards the edge of the galaxy, star formations taper away, becoming less dense.\n\nBut at the edge stars once again pack together to form a distinct outer rim that surrounds the galaxy.
Galaxy Shape Explanation Spiral		;Spiral galaxies have a distinctive shape, with two large nebula cloud arms spiraling out from the center of the galaxy.\n\nThe galactic core is densely packed with stars in a two-armed spiral formation.\n\nMoving towards the edge of the galaxy, star formations taper away, becoming less dense.
Galaxy Shape Explanation Elliptical		;Elliptical galaxies have a random scattering of nebula cloud formations.\n\nThe galactic core is densely packed with stars. Moving towards the edge of the galaxy, star formations taper away, becoming less dense.
Galaxy Shape Explanation Ring No Center		;Ring galaxies contain most of their stars in a large, dense ring that encompasses the galactic perimeter.\n\nA dense nebula cloud formation dominates the center of the galaxy.\n\nSome scattered stars can be found in the middle of the galaxy.
Galaxy Shape Explanation Ring Dense Center		;Ring galaxies contain most of their stars in a large, dense ring that encompasses the galactic perimeter.\n\nAnother dense grouping of stars is found in the middle of the galaxy.
Galaxy Shape Explanation Dual Ring No Center		;Two large rings of stars encompass the galaxy - an inner ring closer to the center, and an outer ring at the galactic edge.\n\nA dense nebula cloud formation dominates the center of the galaxy.
Galaxy Shape Explanation Dual Ring Dense Center		;Two large rings of stars encompass the galaxy - an inner ring closer to the center, and an outer ring at the galactic edge.\n\nAnother dense grouping of stars is found in the middle of the galaxy.
Galaxy Shape Explanation Irregular		;Irregular galaxies have no fixed shape or structure.\n\nStars and nebula clouds are spread evenly throughout the galaxy.
Galaxy Shape Explanation Even Clusters		;Cluster galaxies have groups of stars clustered together in constellations.\n\nBetween clusters there are very few stars, thus each cluster is like an 'island' in the galaxy, separated from the next cluster by a sea of emptiness.\n\nEven clusters means that each cluster is approximately the same size.
Galaxy Shape Explanation Varied Clusters		;Cluster galaxies have groups of stars clustered together in constellations.\n\nBetween clusters there are very few stars, thus each cluster is like an 'island' in the galaxy, separated from the next cluster by a sea of emptiness.\n\nVaried clusters means that cluster sizes are varied - some are small, while others are large.

Your Empire Start Location Random		;Random
Your Empire Start Location Deep Core		;Deep Core
Your Empire Start Location Outer Core		;Outer Core
Your Empire Start Location Inner Rim		;Inner Rim
Your Empire Start Location Outer Rim		;Outer Rim
Your Empire Start Location Ring		;Ring
Your Empire Start Location Center		;Center
Your Empire Start Location Void		;Void
Your Empire Start Location Inner Ring		;Inner Ring
Your Empire Start Location Outer Ring		;Outer Ring
Your Empire Start Location Edge		;Edge
Your Empire Start Location Far Regions		;Far Regions

Stars		;Stars
Galaxy Size		;Galaxy Size
Random Seed		;Random Seed
Very Sparse		;Very Sparse
Sparse		;Sparse
Dense		;Dense
Nebula Density		;Nebula Density

Next		;Next
Start a New Game		;Start a New Game
Load Game		;Load Game
Credits		;Credits
Close Credits		;Close Credits
Exit		;Exit
StartNewGame_GalaxyShapeSize		;Galaxy Shape and Size
StartNewGame_GalaxySettings		;Galaxy Settings
StartNewGame_Threats		;Threats
StartNewGame_Colonization		;Colonization
StartNewGame_YourRace		;Your Race
StartNewGame_YourEmpire		;Your Empire and Government
StartNewGame_YourStartingSituation		;Your Starting Situation
StartNewGame_OtherEmpires		;Other Empires
StartNewGame_VictoryConditions		;Victory Conditions
StartNewGame_StartGame		;Start Game

Galaxy Expansion Random		;Random
Galaxy Expansion PreWarp		;PreWarp
Galaxy Expansion Starting		;Starting
Galaxy Expansion Young		;Young
Galaxy Expansion Expanding		;Expanding
Galaxy Expansion Mature		;Mature
Galaxy Expansion Old		;Old

Galaxy Expansion Explanation Random		;Random starting size, anywhere from a single colony to a mighty multi-sector giant.
Galaxy Expansion Explanation PreWarp		;Empires start with a single small colony and minimal tech. Hyperspace travel has not yet been unlocked.\n\nEmpires begin by expanding slowly across their home star system
Galaxy Expansion Explanation Starting		;Empires start with a single small colony and no ships or bases.\n\nBuild a spaceport, then begin expanding into the surrounding star systems
Galaxy Expansion Explanation Young		;Empires have 2-4 colonies and have explored the nearby systems
Galaxy Expansion Explanation Expanding		;Empires have expanded to 7-8 colonies and have explored the surrounding sectors
Galaxy Expansion Explanation Mature		;Empires have expanded to 12-15 colonies and have explored much of the galaxy
Galaxy Expansion Explanation Old		;Empires are well-established with many colonies and high populations. Most of the galaxy has been explored

Galaxy Expansion		;Galaxy Expansion
Galaxy Aggression		;Galaxy Aggression

Galaxy Aggression Peaceful		;Peaceful
Galaxy Aggression Normal		;Normal
Galaxy Aggression Restless		;Restless
Galaxy Aggression Unstable		;Unstable
Galaxy Aggression Chaos		;Chaos

Galaxy Difficulty Easy		;Easy
Galaxy Difficulty Normal		;Normal
Galaxy Difficulty Hard		;Hard
Galaxy Difficulty Very Hard		;Very Hard
Galaxy Difficulty Extreme		;Extreme

Galaxy NearbyHostileRaces Normal		;Normal
Galaxy NearbyHostileRaces Some		;Some
Galaxy NearbyHostileRaces Hard		;Some More
Galaxy NearbyHostileRaces Very Hard		;Many
Galaxy NearbyHostileRaces Extreme		;Extreme

Hostile Races Near Player		;Hostile Races Near Player
NearbyHostileRaces Explanation		;How many hostile races neighbor the player when other empires are auto-generated. Nearby hostile races are an important factor in how difficult the game is.\n\nNote that even Normal setting still randomly allows hostile races near the player.

Galaxy Research Speed Very Slow		;Very Slow
Galaxy Research Speed Slow		;Slow
Galaxy Research Speed Normal		;Normal
Galaxy Research Speed Fast		;Fast
Galaxy Research Speed Very Fast		;Very Fast

Galaxy Research Is Blind		;Only Next Projects Visible
Galaxy Research Is Visible		;All Projects Visible

